,row_id,clean_phrase,category,timestamp,phrase_freq,sentiment_score,matched_product,listing_category,stock_level,final_similarity,used_backup
359,1163,usb,Solved!,2025-04-04 22:27:30,1,-1,Laptop,Electronics,5558643,0.50812674,False
374,1192,new pc,Build Upgrade,2025-03-21 18:19:14,1,0,Gaming Console,Electronics,5606624,0.511652,False
394,1274,first pc build,Build Help,2025-04-04 01:44:05,1,0,Laptop,Electronics,5558643,0.566507,True
403,1318,os,Build Help,2025-03-31 09:43:15,1,0,Laptop,Electronics,5558643,0.52052,False
423,1375,modern pc,Build Help,2025-04-13 13:43:58,1,-1,Gaming Console,Electronics,5606624,0.51901114,False
428,1393,4k 240hz oled monitors,Build Upgrade,2025-03-31 23:43:46,1,0,Monitor,Electronics,5506270,0.53483886,True
435,1434,extremely cheap computer,Build Help,2025-04-10 00:44:35,1,1,Laptop,Electronics,5558643,0.5115087,False
440,1456,gaming pc,Build Help,2025-04-07 14:44:26,1,0,Gaming Console,Electronics,5606624,0.7746498,False
451,1496,photoshop,Troubleshooting,2025-03-22 13:57:04,1,-1,Blender,Home Appliances,6234391,0.51567787,False
455,1505,ps4,Build Help,2025-04-09 14:42:40,1,-1,Gaming Console,Electronics,5606624,0.5594763,False
486,1592,"32"" 4k mini-led monitor",Peripherals,2025-03-28 20:07:04,1,0,Monitor,Electronics,5506270,0.5306742,False
518,1697,pcmasterrace,Discussion,2025-04-08 20:29:35,1,0,Gaming Console,Electronics,5606624,0.5511031,False
525,1743,pc master race,Discussion,2025-03-28 12:15:49,1,1,Gaming Console,Electronics,5606624,0.5024549,False
528,1765,dell,Build/Battlestation,2025-04-13 02:25:44,1,0,Laptop,Electronics,5558643,0.69404566,False
561,1874,friend's pc,Build/Battlestation,2025-04-13 18:37:56,1,0,Laptop,Electronics,5558643,0.5006488,False
585,1949,android os,Article,2025-03-26 14:31:35,1,1,Smartphone,Electronics,5584861,0.6015969,False
597,2033,best android devices,Article,2025-04-12 12:32:28,1,0,Smartphone,Electronics,5584861,0.6458977,False
599,2042,android [amateur photographer,Review,2025-04-18 08:10:35,1,0,Camera,Electronics,5576465,0.61706007,False
602,2074,both apple and android devices,Article,2025-04-15 18:12:59,1,1,Smartphone,Electronics,5584861,0.5726465,False
607,2097,why does my iphone,Support,2025-04-10 10:40:58,1,0,Smartphone,Electronics,5584861,0.74884415,True
609,2102,iphone devices,Discussion,2025-04-01 09:14:17,1,0,Smartphone,Electronics,5584861,0.65958726,False
610,2108,greatest ui,Support,2025-04-08 06:42:59,1,1,Blender,Home Appliances,6234391,0.5579151,True
611,2109,iphone,Support,2025-04-18 19:45:37,12,0,Smartphone,Electronics,5584861,0.7488439,False
612,2112,iphone apple,Discussion,2025-04-10 17:45:18,2,1,Smartphone,Electronics,5584861,0.6263151,False
617,2145,every iphone,Discussion,2025-04-03 21:24:19,1,0,Smartphone,Electronics,5584861,0.6057562,False
620,2153,iphone best iphone,Discussion,2025-03-28 15:40:24,1,1,Smartphone,Electronics,5584861,0.52684516,False
622,2158,mom's iphone,Support,2025-04-07 11:07:28,1,0,Smartphone,Electronics,5584861,0.6266999,False
623,2159,their iphone?i,App,2025-03-24 04:06:50,1,0,Smartphone,Electronics,5584861,0.59727097,False
624,2165,new iphone,Discussion,2025-03-22 16:20:38,2,0,Smartphone,Electronics,5584861,0.55158746,False
631,2184,older iphone,Discussion,2025-04-06 09:13:17,1,0,Smartphone,Electronics,5584861,0.5378907,False
632,2186,iphone 13pro,Discussion,2025-03-26 03:22:03,1,0,Smartphone,Electronics,5584861,0.55704826,False
633,2188,bf's android phone,Support,2025-03-31 09:40:00,1,-1,Smartphone,Electronics,5584861,0.6837323,False
638,2202,iphone why does my iphone 16 pro blur photos,Support,2025-04-17 02:58:19,1,-1,Smartphone,Electronics,5584861,0.74884415,True
642,2214,airpods,Support,2025-04-16 12:20:34,1,-1,Headphones,Electronics,5572988,0.55003256,False
643,2215,samsung flagship,Discussion,2025-04-14 14:34:42,1,0,Smartphone,Electronics,5584861,0.63158125,False
649,2258,iphone xkcd comic strip,Discussion,2025-04-03 01:35:12,1,0,Comics,Books,6253891,0.52120805,False
651,2263,old/secondary iphones,Discussion,2025-04-15 13:38:40,1,0,Smartphone,Electronics,5584861,0.51238906,True
652,2272,apple iphones,Discussion,2025-03-30 14:15:05,1,-1,Smartphone,Electronics,5584861,0.6029613,False
653,2278,old iphone,Discussion,2025-03-26 18:35:59,1,1,Smartphone,Electronics,5584861,0.5678686,False
654,2282,iphone 13 pro,Support,2025-04-07 03:21:35,1,0,Smartphone,Electronics,5584861,0.50482285,False
656,2297,android,Discussion,2025-04-14 09:00:47,1,0,Smartphone,Electronics,5584861,0.7267504,False
657,2300,“refurbished” iphone,Discussion,2025-04-02 07:29:18,1,-1,Smartphone,Electronics,5584861,0.74884415,True
659,2312,newer iphones,Discussion,2025-03-27 10:11:29,1,0,Smartphone,Electronics,5584861,0.52682716,False
669,2372,apple,Support,2025-04-12 16:40:34,1,0,Smartphone,Electronics,5584861,0.5467738,False
670,2376,iphone owners,Accessory,2025-04-01 23:34:44,1,0,Smartphone,Electronics,5584861,0.51364446,False
671,2388,iphone son's iphone,Support,2025-04-07 20:42:02,1,-1,Smartphone,Electronics,5584861,0.5372672,False
672,2395,first iphone,Discussion,2025-03-26 21:58:02,1,0,Smartphone,Electronics,5584861,0.525243,False
674,2411,iphone 5s,Discussion,2025-03-28 15:38:14,1,1,Smartphone,Electronics,5584861,0.5880375,False
677,2448,bluetooth settings,Support,2025-04-17 07:10:45,1,0,Smartphone,Electronics,5584861,0.5497149,True
679,2458,bluetooth,Discussion,2025-04-11 10:37:11,1,0,Smartphone,Electronics,5584861,0.5497148,False
683,2488,iphone ecosystem,Support,2025-03-25 02:56:12,1,0,Smartphone,Electronics,5584861,0.5367506,False
684,2491,iphone se,Discussion,2025-04-19 14:28:14,1,0,Smartphone,Electronics,5584861,0.5992217,False
692,2576,ge french door fridge,Appliances,2015-03-10 07:00:00,1,0,Refrigerator,Home Appliances,6260139,0.6583768,False
695,2589,kenmore elite freezer ice maker,Appliances,2015-03-03 08:00:00,1,-1,Refrigerator,Home Appliances,6260139,0.50136006,True
699,2602,ipad,Appliances,2015-03-05 08:00:00,1,-1,Tablet,Electronics,5601340,0.6223129,False
740,2705,filter fit thermador refrigerator model,Appliances,2015-02-20 08:00:00,1,0,Refrigerator,Home Appliances,6260139,0.51636136,True
761,2742,monogram microwave,Appliances,2015-03-16 07:00:00,1,0,Microwave,Home Appliances,6216653,0.6888502,False
762,2745,bottom mount kenmore refrigerator 596 series,Appliances,2015-03-09 07:00:00,1,0,Refrigerator,Home Appliances,6260139,0.50885236,False
763,2745,maytag fridge,Appliances,2015-03-09 07:00:00,1,0,Refrigerator,Home Appliances,6260139,0.62904173,False
764,2749,our kenmore dryer,Appliances,2015-03-16 07:00:00,2,0,Washing Machine,Home Appliances,6238805,0.5057366,False
768,2769,2010 maytag centennial washer,Appliances,2015-02-25 08:00:00,1,1,Washing Machine,Home Appliances,6238805,0.52256703,False
787,2791,samsung refrigerator,Appliances,2015-04-14 07:00:00,1,-1,Refrigerator,Home Appliances,6260139,0.78266317,False
788,2791,samsung fridgel rs265tdrs,Appliances,2015-04-14 07:00:00,1,-1,Refrigerator,Home Appliances,6260139,0.5245796,False
801,2825,all north american washing machines,Appliances,2015-03-10 07:00:00,1,0,Washing Machine,Home Appliances,6238805,0.74227864,False
820,2873,our lfx25971sb refrigerator,Appliances,2015-03-22 07:00:00,1,0,Refrigerator,Home Appliances,6260139,0.63303924,False
821,2873,lg model lrfd21855st refrigerator,Appliances,2015-03-22 07:00:00,1,0,Refrigerator,Home Appliances,6260139,0.58349764,False
827,2884,ac option,Appliances,2015-04-01 07:00:00,1,0,Air Conditioner,Home Appliances,6212336,0.56425595,False
834,2890,rs27kgrs refrigerator and ice maker,Appliances,2015-02-18 08:00:00,1,0,Refrigerator,Home Appliances,6260139,0.5516509,False
842,2895,duet washer,Appliances,2015-02-26 08:00:00,2,-1,Washing Machine,Home Appliances,6238805,0.6298772,False
844,2909,thermador freezer t181,Appliances,2015-04-12 07:00:00,2,0,Refrigerator,Home Appliances,6260139,0.50849456,False
855,2926,kenmore elite washer,Appliances,2015-03-30 07:00:00,1,-1,Washing Machine,Home Appliances,6238805,0.5756906,False
860,2932,ge refrigerator model,Appliances,2015-03-06 08:00:00,2,1,Refrigerator,Home Appliances,6260139,0.64588046,False
863,2935,refrigerator model kf1901,Appliances,2015-03-31 07:00:00,1,1,Refrigerator,Home Appliances,6260139,0.63376665,False
868,2950,kenmore elite dishwasher,Appliances,2015-03-02 08:00:00,1,0,Dishwasher,Home Appliances,6228109,0.72518855,False
873,2963,oven model,Appliances,2015-02-11 08:00:00,1,0,Microwave,Home Appliances,6216653,0.5164451,False
881,2971,general electric fridge tpg24pr,Appliances,2015-02-26 08:00:00,1,0,Refrigerator,Home Appliances,6260139,0.624606,False
890,2981,ge nautilus dishwasher,Appliances,2015-04-08 07:00:00,1,1,Dishwasher,Home Appliances,6228109,0.7060226,False
893,2986,bosch dishwasher,Appliances,2015-03-14 07:00:00,1,1,Dishwasher,Home Appliances,6228109,0.7998395,False
905,3030,28' french door lg refrigerator,Appliances,2015-02-20 08:00:00,1,1,Refrigerator,Home Appliances,6260139,0.56840473,False
924,3038,ge oven,Appliances,2015-02-22 08:00:00,1,1,Microwave,Home Appliances,6216653,0.50400263,False
935,3068,cooktop,Appliances,2015-02-07 08:00:00,1,0,Cookbooks,Books,6234808,0.57176447,False
940,3075,kitchen aid kude60hxss5 dishwasher,Appliances,2015-03-08 08:00:00,1,-1,Dishwasher,Home Appliances,6228109,0.6905391,False
943,3079,whirlpool fridge,Appliances,2015-04-13 07:00:00,1,0,Refrigerator,Home Appliances,6260139,0.7055696,False
948,3084,fridgidare stove,Appliances,2015-03-30 07:00:00,1,-1,Cookbooks,Books,6234808,0.5490439,True
967,3103,model gss23wgsc refrigerator,Appliances,2015-02-28 08:00:00,1,0,Refrigerator,Home Appliances,6260139,0.5485152,False
968,3104,ge fridge,Appliances,2015-02-21 08:00:00,1,0,Refrigerator,Home Appliances,6260139,0.76112884,False
969,3104,ge model gss20ietd fridge,Appliances,2015-02-21 08:00:00,1,0,Refrigerator,Home Appliances,6260139,0.54818153,False
995,3164,new ge washer/dryer,Appliances,2015-03-08 08:00:00,1,1,Washing Machine,Home Appliances,6238805,0.5976659,False
998,3168,thermador t361 series fridge/freezer,Appliances,2015-02-24 08:00:00,1,0,Refrigerator,Home Appliances,6260139,0.6908728,False
999,3169,whirlpool llr8245bw0 washing machine,Appliances,2015-02-03 08:00:00,1,1,Washing Machine,Home Appliances,6238805,0.7022854,False
1012,3177,kenmore refrigerator,Appliances,2015-04-05 07:00:00,2,-1,Refrigerator,Home Appliances,6260139,0.77179706,False
1032,3203,all ge refrigerators,Appliances,2015-02-28 08:00:00,1,0,Refrigerator,Home Appliances,6260139,0.67865586,False
1034,3204,kenmore elite he3t washer,Appliances,2015-03-15 07:00:00,1,1,Washing Machine,Home Appliances,6238805,0.50563705,False
1036,3214,kenmore laundry center washer,Appliances,2015-03-09 07:00:00,1,1,Washing Machine,Home Appliances,6238805,0.62533617,False
1054,3260,frigidaire refrigirator,Appliances,2015-03-30 07:00:00,1,1,Refrigerator,Home Appliances,6260139,0.5216607,False
1073,3279,he3t washing machine,Appliances,2015-03-09 07:00:00,1,1,Washing Machine,Home Appliances,6238805,0.751938,False
1086,3306,whirlpool washer,Appliances,2015-02-10 08:00:00,1,1,Washing Machine,Home Appliances,6238805,0.6804128,False
1091,3314,kenmore 3.4 cu. ft. top load washer,Appliances,2015-03-12 07:00:00,1,1,Washing Machine,Home Appliances,6238805,0.50974727,True
1101,3350,maytag rsw2000e refrigerator,Appliances,2015-04-17 07:00:00,1,0,Refrigerator,Home Appliances,6260139,0.612714,False
1106,3365,windows os computer,Appliances,2015-03-17 07:00:00,1,1,Laptop,Electronics,5558643,0.5161767,False
1121,3392,samsung side,Appliances,2015-02-10 08:00:00,1,0,Smartphone,Electronics,5584861,0.5560986,False
1143,3469,lg refrigerator model,Appliances,2015-02-04 08:00:00,1,0,Refrigerator,Home Appliances,6260139,0.6159282,False
1150,3480,our lg front load washer,Appliances,2015-02-08 08:00:00,1,1,Washing Machine,Home Appliances,6238805,0.57828784,False
1151,3480,lg front washer,Appliances,2015-02-08 08:00:00,1,1,Washing Machine,Home Appliances,6238805,0.58062613,False
1172,3542,fridge door bin,Appliances,2015-02-10 08:00:00,1,0,Refrigerator,Home Appliances,6260139,0.6421986,False
1173,3542,freezer door,Appliances,2015-02-10 08:00:00,1,0,Refrigerator,Home Appliances,6260139,0.5362382,False
1177,3546,our whirlpool refrigerator,Appliances,2015-03-03 08:00:00,1,-1,Refrigerator,Home Appliances,6260139,0.7025375,False
1190,3564,sub-zero fridge,Appliances,2015-03-29 07:00:00,1,1,Refrigerator,Home Appliances,6260139,0.65609866,False
1196,3581,wjrr4170gww washer model,Appliances,2015-04-03 07:00:00,1,0,Washing Machine,Home Appliances,6238805,0.5542426,False
1207,3592,samsung,Appliances,2015-04-23 07:00:00,1,1,Smartphone,Electronics,5584861,0.67834306,False
1223,3635,hp,Appliances,2015-04-20 07:00:00,1,0,Laptop,Electronics,5558643,0.54128754,False
1230,3650,ge refrigerator,Appliances,2015-02-26 08:00:00,1,1,Refrigerator,Home Appliances,6260139,0.7319559,False
1231,3651,ge gss25sgmd fridge,Appliances,2015-02-19 08:00:00,1,0,Refrigerator,Home Appliances,6260139,0.64217,False
1232,3654,pic pro,Appliances,2015-02-07 08:00:00,1,1,Camera,Electronics,5576465,0.66635823,False
1242,3699,panda non-automatic washer,Appliances,2015-04-05 07:00:00,1,0,Washing Machine,Home Appliances,6238805,0.5366231,False
1246,3707,mac,Video_Games,2015-03-05 08:00:00,7,-1,Laptop,Electronics,5558643,0.5139535,False
1249,3714,wii u,Video_Games,2015-04-12 07:00:00,14,1,Gaming Console,Electronics,5606624,0.5655241,False
1250,3716,windows 8.1 64bit laptop,Video_Games,2015-02-26 08:00:00,1,1,Laptop,Electronics,5558643,0.55592084,True
1259,3734,mac book,Video_Games,2015-02-02 08:00:00,1,1,Textbooks,Books,6289025,0.52366126,False
1260,3734,macbook,Video_Games,2015-02-02 08:00:00,1,1,Laptop,Electronics,5558643,0.6987518,False
1261,3734,sony vaio laptop,Video_Games,2015-02-02 08:00:00,1,1,Laptop,Electronics,5558643,0.6475261,False
1263,3735,xbox controler,Video_Games,2015-02-27 08:00:00,1,1,Gaming Console,Electronics,5606624,0.5398745,False
1268,3753,most pc games,Video_Games,2015-03-19 07:00:00,1,1,Gaming Console,Electronics,5606624,0.5897521,False
1273,3767,joystick,Video_Games,2015-04-03 07:00:00,1,0,Gaming Console,Electronics,5606624,0.5129024,False
1278,3778,hdmi input,Video_Games,2015-03-19 07:00:00,1,0,Monitor,Electronics,5506270,0.66745365,True
1283,3780,tv,Video_Games,2015-03-03 08:00:00,6,1,Monitor,Electronics,5506270,0.5304749,False
1286,3780,hdtv,Video_Games,2015-03-03 08:00:00,1,1,Monitor,Electronics,5506270,0.5196779,False
1288,3790,3ds,Video_Games,2015-03-20 07:00:00,8,1,Blender,Home Appliances,6234391,0.524415,True
1292,3795,toshiba laptop,Video_Games,2015-02-24 08:00:00,1,1,Laptop,Electronics,5558643,0.7011217,False
1300,3807,all ps3 games,Video_Games,2015-04-14 07:00:00,1,-1,Gaming Console,Electronics,5606624,0.51256776,True
1304,3809,wii,Video_Games,2015-03-11 07:00:00,15,0,Gaming Console,Electronics,5606624,0.6188557,False
1307,3814,xbox,Video_Games,2015-03-31 07:00:00,19,0,Gaming Console,Electronics,5606624,0.63298464,False
1309,3817,xbox 360 elite,Video_Games,2015-02-14 08:00:00,1,-1,Gaming Console,Electronics,5606624,0.52431476,False
1310,3819,old xbox360,Video_Games,2015-03-03 08:00:00,1,0,Gaming Console,Electronics,5606624,0.53284836,False
1312,3827,wii system,Video_Games,2015-03-28 07:00:00,1,1,Gaming Console,Electronics,5606624,0.61653996,False
1315,3828,original xbox,Video_Games,2015-03-06 08:00:00,4,0,Gaming Console,Electronics,5606624,0.5824925,False
1332,3855,macbook air,Video_Games,2015-04-13 07:00:00,1,1,Laptop,Electronics,5558643,0.5763705,False
1338,3861,windows,Video_Games,2015-02-04 08:00:00,3,1,Laptop,Electronics,5558643,0.56944895,False
1349,3878,ps3,Video_Games,2015-03-25 07:00:00,22,0,Gaming Console,Electronics,5606624,0.55383563,False
1350,3878,usb plug,Video_Games,2015-03-25 07:00:00,1,0,Laptop,Electronics,5558643,0.5081267,True
1356,3886,wiiu,Video_Games,2015-03-24 07:00:00,1,-1,Gaming Console,Electronics,5606624,0.56055456,False
1357,3886,original wii,Video_Games,2015-03-24 07:00:00,1,-1,Gaming Console,Electronics,5606624,0.5782429,False
1358,3886,our wiiu console,Video_Games,2015-03-24 07:00:00,1,-1,Gaming Console,Electronics,5606624,0.69054645,False
1360,3889,pc game,Video_Games,2015-03-08 08:00:00,1,0,Gaming Console,Electronics,5606624,0.6452024,False
1361,3889,xbox360,Video_Games,2015-03-08 08:00:00,2,0,Gaming Console,Electronics,5606624,0.588709,False
1364,3891,usb 2.0 systems,Video_Games,2015-02-23 08:00:00,1,1,Laptop,Electronics,5558643,0.5081267,True
1367,3893,hp notebook,Video_Games,2015-03-28 07:00:00,1,1,Laptop,Electronics,5558643,0.70793855,False
1371,3901,all ps3s,Video_Games,2015-03-29 07:00:00,2,-1,Gaming Console,Electronics,5606624,0.50674313,True
1372,3907,all nintendo ds games,Video_Games,2015-03-11 07:00:00,1,1,Gaming Console,Electronics,5606624,0.5571315,True
1376,3916,wii u gamepad,Video_Games,2015-03-28 07:00:00,1,-1,Gaming Console,Electronics,5606624,0.5472805,False
1377,3916,wii remote,Video_Games,2015-03-28 07:00:00,3,-1,Gaming Console,Electronics,5606624,0.51152074,False
1381,3923,lcd screen,Video_Games,2015-02-26 08:00:00,1,0,Monitor,Electronics,5506270,0.6120428,False
1382,3923,logitech gaming software,Video_Games,2015-02-26 08:00:00,1,0,Gaming Console,Electronics,5606624,0.5610859,False
1395,3931,ps2 card,Video_Games,2015-02-02 08:00:00,1,0,Gaming Console,Electronics,5606624,0.523504,False
1399,3933,rpg,Video_Games,2015-03-07 08:00:00,1,-1,Gaming Console,Electronics,5606624,0.5040742,False
1413,3946,wii-u,Video_Games,2015-02-25 08:00:00,1,0,Gaming Console,Electronics,5606624,0.5552149,False
1418,3957,flaming helmet,Video_Games,2015-04-04 07:00:00,1,0,Jacket,Apparel,5516002,0.5110167,True
1419,3959,xbox 360 console arcade,Video_Games,2015-04-01 07:00:00,1,0,Gaming Console,Electronics,5606624,0.7099353,False
1424,3971,usb device,Video_Games,2015-02-20 08:00:00,1,0,Tablet,Electronics,5601340,0.50557435,False
1430,3977,older gameboy games,Video_Games,2015-03-21 07:00:00,1,-1,Gaming Console,Electronics,5606624,0.516135,False
1432,3979,newest 3ds console,Video_Games,2015-03-10 07:00:00,1,0,Gaming Console,Electronics,5606624,0.57768357,False
1443,4001,wii mini,Video_Games,2015-02-08 08:00:00,5,0,Gaming Console,Electronics,5606624,0.51665616,False
1444,4002,only the gamepad,Video_Games,2015-04-09 07:00:00,1,-1,Gaming Console,Electronics,5606624,0.5510048,True
1450,4012,snes or nes emulator,Video_Games,2015-03-14 07:00:00,1,1,Gaming Console,Electronics,5606624,0.52193534,False
1458,4017,regular wii,Video_Games,2015-02-25 08:00:00,1,0,Gaming Console,Electronics,5606624,0.57287097,False
1465,4028,new xbox360,Video_Games,2015-03-05 08:00:00,1,1,Gaming Console,Electronics,5606624,0.5250442,False
1466,4030,xbox 360 slim,Video_Games,2015-02-19 08:00:00,1,0,Gaming Console,Electronics,5606624,0.63298464,True
1468,4037,original nes,Video_Games,2015-03-08 08:00:00,2,-1,Gaming Console,Electronics,5606624,0.53562963,False
1471,4042,all nes games,Video_Games,2015-03-21 07:00:00,1,-1,Gaming Console,Electronics,5606624,0.53634703,False
1473,4045,xbox site,Video_Games,2015-02-09 08:00:00,1,0,Gaming Console,Electronics,5606624,0.52023584,False
1482,4063,nintendo ds,Video_Games,2015-03-17 07:00:00,1,0,Gaming Console,Electronics,5606624,0.5197362,False
1484,4066,dsi game console,Video_Games,2015-02-22 08:00:00,2,1,Gaming Console,Electronics,5606624,0.6685614,False
1486,4066,his mp3 player,Video_Games,2015-02-22 08:00:00,2,1,Speaker,Electronics,5608503,0.51252604,False
1494,4081,nes,Video_Games,2015-02-10 08:00:00,1,0,Gaming Console,Electronics,5606624,0.61917764,False
1496,4090,all xboxs,Video_Games,2015-03-04 08:00:00,1,0,Gaming Console,Electronics,5606624,0.53875923,False
1499,4094,audio,Video_Games,2015-03-10 07:00:00,2,0,Speaker,Electronics,5608503,0.6779536,False
1500,4094,hdmi,Video_Games,2015-03-10 07:00:00,1,0,Monitor,Electronics,5506270,0.66745365,False
1513,4104,more usb,Video_Games,2015-03-05 08:00:00,1,1,Laptop,Electronics,5558643,0.5081267,True
1522,4108,its a regular xbox,Video_Games,2015-02-05 08:00:00,1,-1,Gaming Console,Electronics,5606624,0.5231533,False
1523,4108,game console,Video_Games,2015-02-05 08:00:00,1,-1,Gaming Console,Electronics,5606624,0.9313884,False
1524,4109,isbn,Video_Games,2015-04-12 07:00:00,1,0,Textbooks,Books,6289025,0.62217176,False
1528,4126,few sega games,Video_Games,2015-02-15 08:00:00,1,-1,Gaming Console,Electronics,5606624,0.538774,True
1533,4138,all the other xbox 360 wireless headphones,Video_Games,2015-03-05 08:00:00,1,-1,Headphones,Electronics,5572988,0.62659323,False
1534,4139,wii game,Video_Games,2015-03-29 07:00:00,1,-1,Gaming Console,Electronics,5606624,0.6168621,False
1536,4139,all wii games,Video_Games,2015-03-29 07:00:00,1,-1,Gaming Console,Electronics,5606624,0.53258765,False
1539,4139,some wii games,Video_Games,2015-03-29 07:00:00,1,-1,Gaming Console,Electronics,5606624,0.59359264,False
1540,4148,grandson's wii,Video_Games,2015-02-08 08:00:00,1,-1,Gaming Console,Electronics,5606624,0.51964396,False
1543,4151,hdmi port,Video_Games,2015-02-26 08:00:00,1,0,Monitor,Electronics,5506270,0.5102577,False
1550,4164,and all wii controllers,Video_Games,2015-02-09 08:00:00,1,1,Gaming Console,Electronics,5606624,0.5014285,True
1556,4176,pal xbox,Video_Games,2015-04-17 07:00:00,1,1,Gaming Console,Electronics,5606624,0.56332296,False
1562,4180,ps4 system,Video_Games,2015-03-25 07:00:00,2,0,Gaming Console,Electronics,5606624,0.5449085,False
1563,4180,ps3 system,Video_Games,2015-03-25 07:00:00,1,0,Gaming Console,Electronics,5606624,0.53019446,False
1569,4187,no just the 3ds,Video_Games,2015-03-03 08:00:00,1,0,Blender,Home Appliances,6234391,0.524415,True
1582,4223,xp510 headset,Video_Games,2015-04-03 07:00:00,1,0,Headphones,Electronics,5572988,0.50364566,False
